,alpha,Прогон экперимента,MSE тренировочное,MSE тестовое,Кроссвалидация,Глубина дерева,Число листов
320,0.0021827760133617184,2,0.043359336394176266,0.37951116183773514,0.5125686734806394,8,29
321,0.0023967111288931836,2,0.04575604752307128,0.3515359800351705,0.5033701001177008,8,28
322,0.0028434478292607554,2,0.04859949535233238,0.32008410943540827,0.4926403743105972,8,27
323,0.003485273854367911,2,0.04859949535233238,0.3200841094354084,0.48934435705223805,8,27
324,0.0037737146260975896,2,0.063117472313265,0.3108854472612863,0.47551131575855093,8,23
325,0.0038102340710454248,2,0.063117472313265,0.3935258684943973,0.485862210992498,8,23
326,0.003978783674921842,2,0.07471672413027983,0.33995222844507167,0.4864500017438152,6,20
327,0.004618879466748724,2,0.07471672413027983,0.3420781065302673,0.47480716199925727,6,20
328,0.004840443989607262,2,0.08417604758663301,0.33941071692502484,0.47042424065245164,6,18
329,0.0051263611927825515,2,0.08417604758663301,0.4002234893210999,0.47318935271960716,6,18
330,0.0056586572260170255,2,0.08930240877941424,0.3329265863057137,0.4702744316424384,5,17
331,0.008372611545171278,2,0.10333367755059376,0.32053213762050287,0.45824636411184994,5,15
332,0.008995464070986559,2,0.11232914162158551,0.31526358300028606,0.458043229896166,5,14
333,0.009590923365052748,2,0.12192006498663743,0.32852662877610933,0.463952058643404,5,13
334,0.010749149864448256,2,0.13266921485109814,0.33404322384422436,0.45852133704055875,5,12
335,0.010858642463771669,2,0.14352785731487566,0.37407745222330346,0.4585213370405589,5,11
336,0.01319777535021755,2,0.14352785731487566,0.31539055791242393,0.4841910657321908,5,11
337,0.015720255100485928,2,0.1724458877655685,0.3269928740622459,0.4695448754608953,4,9
338,0.016557803198569893,2,0.1724458877655685,0.32699287406224564,0.46954487546089535,4,9
339,0.016813549088262315,2,0.18900369096413935,0.2992891550616115,0.4678682804628491,4,8
340,0.018374650798206157,2,0.20581724005240729,0.3444206135489669,0.4682837848806897,4,7
341,0.01992632411377808,2,0.24411821496442285,0.3180416360419102,0.4696926046730316,3,5
342,0.040112960680925486,2,0.2842311756453447,0.34870751020701973,0.4326989444177409,2,4
343,0.051441942038988275,2,0.33567311768432995,0.3653446524627679,0.4111696983172927,2,3
344,0.05708682763169301,2,0.39275994531597935,0.48321871744205086,0.4245807362810683,1,2
345,0.3888929456640622,2,0.39275994531597935,0.48321871744205086,0.6791220663552666,1,2
346,0.0,3,0.0,0.42060074894806065,0.5540434884861752,13,125
347,1.0765799026668185e-16,3,0.0,0.4351944310731797,0.5281742182680377,13,125
348,2.153159805333637e-16,3,0.0,0.4416311829652618,0.5019217925711725,13,124
349,9.914657114162502e-08,3,0.0,0.4171955997564245,0.5057203249487112,13,124
350,2.2242279824008e-07,3,9.914657139413323e-08,0.4381898837066191,0.4739706929918445,13,123
351,2.6324957841888424e-07,3,5.848189482066278e-07,0.44839945807446085,0.5200986434416796,13,121
352,1.0349159961063321e-06,3,5.848189482066278e-07,0.4418010687867388,0.53396288121236,13,121
353,1.3485594694542717e-06,3,2.9682944138848182e-06,0.4256673610043854,0.5432275280389002,13,119
354,2.09728904686277e-06,3,7.162872507605615e-06,0.4513094559131821,0.5020869190986877,13,117
355,2.09728904686277e-06,3,7.162872507605615e-06,0.4398752072412034,0.5208274810054806,13,117
356,3.006054201061831e-06,3,1.0168926708638837e-05,0.43309841335827476,0.48266443729776726,13,116
357,3.1828685378095765e-06,3,1.3351795246434732e-05,0.4306233169566177,0.5343304602256468,13,115
358,3.6614568346945733e-06,3,1.7013252081128508e-05,0.44540995189208765,0.5330710766535681,13,114
359,3.818105472244284e-06,3,2.0831357553364342e-05,0.4454050712535028,0.5137230224099888,13,113
360,4.181604774067933e-06,3,2.5012962327308756e-05,0.43441869276266687,0.5124893191056717,13,112
361,5.533564808362023e-06,3,3.0546527135819616e-05,0.430021249242807,0.5346434195961934,13,111
362,6.312502092221235e-06,3,3.685902922830779e-05,0.4419926361510844,0.5033972021782401,13,110
363,7.828491407770663e-06,3,4.4687520636100435e-05,0.43359886198986763,0.5342131296822913,13,109
364,8.740138297143444e-06,3,4.4687520636100435e-05,0.44728591213160823,0.5139842752812481,13,109
365,9.01697015031504e-06,3,6.244462908329033e-05,0.4496550193703603,0.5742782883190717,13,107
366,1.0173627496809248e-05,3,7.261825658014237e-05,0.4207823212430443,0.5441909242869682,13,106
367,1.0748508466896352e-05,3,8.336676504668632e-05,0.45729185952350687,0.4883995547799409,13,105
368,1.1072971272287363e-05,3,8.336676504668632e-05,0.430606722163203,0.5248245966130348,13,105
369,1.1072971272341192e-05,3,0.00010551270759129963,0.43135729241416443,0.5315549664791916,13,103
370,1.1960614316122634e-05,3,0.00011747332190708922,0.44876610990585525,0.5294835063870892,13,102
371,1.8519990042229686e-05,3,0.00013599331194953714,0.42152950063453376,0.5633179889498287,13,101
372,2.128582248928763e-05,3,0.00015727913443882763,0.43202379093575244,0.5329334920895408,13,100
373,2.332497890152515e-05,3,0.0001572791344388276,0.4020984086976982,0.4834349036332523,13,100
374,2.4040486444624904e-05,3,0.00020464459978485538,0.4315178513923063,0.47737338992821576,13,98
375,2.585550430467265e-05,3,0.00023050010408955815,0.41809609406422155,0.5111842323790367,13,97
376,3.0417950700306115e-05,3,0.00027776555264087574,0.45118828510601633,0.5607039551271332,13,95
377,3.326612060650439e-05,3,0.00031103167324732635,0.4511265326689054,0.5308547788259295,12,94
378,3.4409205963351994e-05,3,0.0003454408792107078,0.4434053978286752,0.48981025564873687,12,93
379,3.609445123861379e-05,3,0.00032859338136024494,0.4605271011755782,0.5909950336292955,12,94
380,3.724348515500533e-05,3,0.0004019313177539256,0.42587299259965017,0.5091956418080161,12,92
381,4.125383635785706e-05,3,0.00044318515411179014,0.4265368489294351,0.5358123613436563,12,91
382,4.7298282399590576e-05,3,0.00044318515411179014,0.41977912531853223,0.5271422868632184,12,91
383,4.761417645687322e-05,3,0.0005549451108191648,0.4462854047611071,0.5454128093132676,12,88
384,5.1866861868317194e-05,3,0.0005899644748370598,0.44891665937875846,0.5234326070864043,12,88
385,5.57896121697136e-05,3,0.000645754087006795,0.439432680709253,0.5716722373400226,12,87
386,6.013662448017653e-05,3,0.0007058907114865711,0.41108049393551366,0.49258699540352713,12,86
387,6.43849987519732e-05,3,0.000731333595919183,0.44731190565605666,0.4880994903806102,12,85
388,7.205725232683699e-05,3,0.0008033908482459279,0.43509904107575825,0.5046831540574094,12,84
389,7.815514055896072e-05,3,0.0008815459888050742,0.43099344013459556,0.487544639725614,12,83
390,8.223200319068872e-05,3,0.0010027201063150177,0.43955773166528006,0.4982390994331623,12,82
391,8.25321761192493e-05,3,0.001046310168114858,0.4382752168886901,0.5306044011432481,12,81
392,8.616493965115286e-05,3,0.0011324751077659576,0.4422201530700139,0.4682512141804202,12,80
393,8.616493965128744e-05,3,0.0012186400474170575,0.45898465046532333,0.5184005250632812,12,79
394,9.157407201248856e-05,3,0.0013102141194295085,0.4406611638607577,0.5199391250877069,12,78
395,9.6281997399669e-05,3,0.0013491562337487808,0.4383234034721695,0.5214242342380344,12,78
396,0.00010094342348113716,3,0.0015074395403101822,0.44102204196657874,0.5577887084999338,12,76
397,0.00010828335371637968,3,0.0017240062477429496,0.43520678385134914,0.5150204582426641,12,74
398,0.00010828335371643351,3,0.001762948362062222,0.4399637404704855,0.48624570748024615,12,74
399,0.00012863268529875773,3,0.0018915810473609544,0.44836261025487406,0.5219786186722056,12,73
400,0.00013040306386682545,3,0.0022343244286285296,0.42126166682129146,0.49605452807504363,12,70
401,0.00015165936138497173,3,0.002385983790014168,0.437892503091099,0.5423374425685582,12,69
402,0.00016330518290500842,3,0.002467351719385094,0.41716914987281234,0.5074412879669987,12,69
403,0.00021299497143822282,3,0.0026803466908230027,0.42843064977324374,0.4978354021191451,12,68
404,0.00021530696307070832,3,0.0029775909074271165,0.45045727690381465,0.4975249905184673,12,66
405,0.00023883875956445726,3,0.002895653653893399,0.4261854903789519,0.5012008383502785,12,67
406,0.00023923841614452982,3,0.0036945068427005874,0.43024535244926904,0.5308585791669037,12,63
407,0.00024013648328566762,3,0.0036125695891668697,0.41873611085899826,0.5079307036186774,12,64
408,0.00024024821964476882,3,0.004092954292097687,0.45412878961558545,0.48060739228909294,12,62
409,0.0002776230423693618,3,0.004452514588000411,0.43910495085834866,0.5151203192557124,11,60
410,0.0002998747608595686,3,0.004670452095326783,0.4279145828382223,0.5239190206663827,11,60
411,0.0003004414312484038,3,0.005052830780108574,0.44122467631890766,0.5144349462279331,11,58
412,0.0003161632163069242,3,0.005052830780108574,0.4439751849645411,0.5375143728193013,11,58
413,0.0003354863643697828,3,0.005287056742883536,0.43848241173814545,0.5009443904288958,11,58
414,0.00033548636437026727,3,0.006039966725157822,0.4413472712588525,0.5376094848089451,11,55
415,0.0003946312983069419,3,0.006039966725157822,0.43430593171396836,0.527322228043287,11,55
416,0.00046667936938940807,3,0.006819340139321242,0.4438873012298321,0.527279646108131,11,54
417,0.0004952941196441343,3,0.006506646094548152,0.4326379369241187,0.5428767632063748,11,54
418,0.0005002614540027632,3,0.007814895712968924,0.42652382169129155,0.5215407237347097,10,52
